Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
fucci-wt-single-f7-r1-c7_S7_	brdu	1314231	1205730	12.8%	2.6%	5.8%	151	35.0%	43.0%	153	0.21	0.00%	1.60%	0
fucci-wt-single-f7-r2-c1_S8_	brdu	1339883	1215952	12.2%	2.6%	6.2%	174	35.6%	41.0%	150	0.21	0.00%	1.60%	0
fucci-wt-single-f7-r2-c2_S9_	brdu	321442	292844	4.1%	0.7%	9.4%	42	21.4%	44.0%	153	0.23	0.00%	0.30%	0
fucci-wt-single-f7-r2-c3_S10_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f7-r2-c4_S11_	good	1068570	972452	9.6%	2.1%	2.2%	145	17.3%	41.0%	152	0.2	0.00%	1.42%	0.0676949
fucci-wt-single-f7-r2-c5_S12_	brdu	1174850	1078982	10.9%	2.3%	7.2%	155	50.6%	43.0%	153	NA	0.00%	2.72%	0.0608457
fucci-wt-single-f7-r2-c6_S13_	good	1385888	1259354	11.8%	2.7%	2.6%	183	19.6%	41.0%	151	0.2	0.00%	2.31%	0.0522985
fucci-wt-single-f7-r2-c7_S14_	brdu	1369390	1251786	9.7%	2.8%	13.2%	165	27.0%	43.0%	152	0.19	0.00%	1.78%	0
fucci-wt-single-f7-r3-c1_S15_	poor	141976	128718	3.4%	0.3%	1.8%	20	7.4%	41.0%	153	0.32	0.00%	0.36%	0
fucci-wt-single-f7-r3-c2_S16_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f7-r3-c3_S17_	poor	47134	42862	2.1%	0.1%	2.3%	7	0.0%	45.0%	154	NA	0.00%	0.18%	0
fucci-wt-single-f7-r3-c4_S18_	good	503556	456644	6.2%	1.0%	2.2%	71	11.9%	43.0%	153	0.23	0.00%	1.01%	0
fucci-wt-single-f7-r3-c5_S19_	good	1221997	1114046	11.5%	2.4%	1.8%	162	20.8%	42.0%	151	0.21	0.00%	1.07%	0
fucci-wt-single-f7-r3-c6_S20_	good	1156791	1051898	10.8%	2.3%	2.0%	155	18.2%	40.0%	152	0.21	0.00%	1.78%	0
fucci-wt-single-f7-r3-c7_S21_	brdu	451841	413886	5.4%	1.0%	23.0%	56	14.8%	42.0%	152	0.22	0.00%	1.01%	0
fucci-wt-single-f7-r4-c1_S22_	brdu	459695	419490	6.3%	1.0%	8.9%	61	24.4%	44.0%	152	NA	0.00%	0.95%	0.156489
fucci-wt-single-f7-r4-c2_S23_	brdu	481841	439490	5.2%	1.0%	12.2%	60	20.7%	47.0%	151	0.21	0.00%	1.07%	0
fucci-wt-single-f7-r4-c3_S24_	poor	413261	376654	5.1%	0.9%	2.4%	59	17.5%	40.0%	151	0.23	0.00%	0.47%	0
fucci-wt-single-f7-r4-c4_S25_	brdu	1262302	1153592	12.5%	2.5%	8.1%	157	39.7%	40.0%	152	0.21	0.00%	3.31%	0
fucci-wt-single-f7-r4-c5_S26_	good	951344	865532	8.7%	1.9%	2.4%	131	22.9%	41.0%	152	0.2	0.00%	1.84%	0
fucci-wt-single-f7-r4-c6_S27_	brdu	786508	717060	6.8%	1.6%	16.1%	97	31.8%	42.0%	152	0.2	0.00%	1.18%	0.0912126
fucci-wt-single-f7-r4-c7_S28_	poor	257735	234500	5.0%	0.5%	3.9%	36	6.1%	41.0%	153	0.3	0.00%	0.30%	0
fucci-wt-single-f7-r5-c1_S29_	poor	12214	11106	1.6%	0.0%	6.9%	2	0.0%	39.0%	152	NA	0.00%	0.00%	0
fucci-wt-single-f7-r5-c2_S30_	brdu	311272	285596	6.1%	0.7%	24.7%	37	26.9%	48.0%	154	0.3	0.00%	0.59%	0
fucci-wt-single-f7-r5-c3_S31_	brdu	1787597	1637770	15.3%	3.4%	3.1%	208	45.1%	43.0%	151	0.2	0.00%	3.43%	0
fucci-wt-single-f7-r5-c4_S32_	brdu	1464839	1336012	12.5%	2.9%	7.4%	186	34.0%	41.0%	152	0.2	0.00%	1.78%	0.0983731
fucci-wt-single-f7-r5-c5_S33_	good	612518	556920	9.8%	1.2%	1.8%	79	21.7%	44.0%	152	NA	0.00%	0.98%	0
fucci-wt-single-f7-r5-c6_S34_	brdu	228601	208414	3.3%	0.5%	25.4%	29	44.4%	48.0%	150	0.24	0.00%	0.36%	0
fucci-wt-single-f7-r5-c7_S35_	brdu	630447	574088	7.1%	1.3%	8.8%	83	19.5%	41.0%	153	0.22	0.00%	0.83%	0
fucci-wt-single-f7-r6-c1_S36_	good	818696	742772	9.3%	1.6%	2.4%	111	16.0%	43.0%	152	0.22	0.00%	1.60%	0
fucci-wt-single-f7-r6-c2_S37_	brdu	1040707	955776	9.8%	2.1%	19.0%	124	35.4%	42.0%	151	0.21	0.00%	1.83%	0
fucci-wt-single-f7-r6-c3_S38_	good	1180334	1076268	10.6%	2.3%	2.0%	159	14.0%	42.0%	152	NA	0.00%	2.19%	0.061208
fucci-wt-single-f7-r6-c4_S39_	poor	117058	106486	2.7%	0.3%	2.9%	17	3.7%	41.0%	153	0.34	0.00%	0.00%	0
fucci-wt-single-f7-r6-c5_S40_	poor	8858	8080	0.8%	0.0%	0.0%	1	17.4%	49.0%	157	NA	0.00%	0.06%	0
fucci-wt-single-f7-r6-c6_S41_	poor	16465	14832	2.6%	0.0%	6.7%	2	12.5%	51.0%	153	NA	0.00%	0.00%	0
fucci-wt-single-f7-r6-c7_S42_	good	1110104	1005554	8.8%	2.2%	1.8%	152	25.5%	40.0%	152	0.2	0.00%	1.95%	0
fucci-wt-single-f7-r7-c1_S43_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f7-r7-c2_S44_	brdu	831881	766580	9.4%	1.7%	9.7%	105	33.3%	43.0%	152	0.22	0.00%	1.30%	0
fucci-wt-single-f7-r7-c3_S45_	brdu	495590	451804	6.5%	1.0%	7.2%	64	20.6%	45.0%	151	0.24	0.00%	0.83%	0
fucci-wt-single-f7-r7-c4_S46_	good	1175900	1067074	11.1%	2.3%	1.6%	157	17.0%	43.0%	152	NA	0.00%	2.19%	0.184803
fucci-wt-single-f7-r7-c5_S47_	poor	102107	91584	3.1%	0.2%	31.5%	13	42.4%	48.0%	155	0.55	0.00%	0.12%	0
fucci-wt-single-f7-r7-c6_S48_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f8-r1-c1_S50_	brdu	1196411	1093294	10.0%	2.4%	11.6%	146	23.3%	41.0%	151	0.2	0.00%	1.78%	0
fucci-wt-single-f8-r1-c2_S51_	brdu	1196197	1094712	11.6%	2.4%	13.9%	135	34.5%	42.0%	150	0.21	0.00%	2.07%	0
fucci-wt-single-f8-r1-c3_S52_	brdu	781460	708520	7.6%	1.6%	5.9%	106	34.7%	42.0%	154	0.21	0.00%	1.18%	0
fucci-wt-single-f8-r1-c4_S53_	brdu	1042453	947562	9.0%	2.1%	16.0%	132	32.7%	42.0%	150	0.2	0.00%	1.07%	0
fucci-wt-single-f8-r1-c5_S54_	brdu	666526	604600	7.9%	1.4%	7.6%	90	31.7%	41.0%	151	0.23	0.00%	1.07%	0
fucci-wt-single-f8-r1-c6_S55_	good	886177	799674	7.7%	1.8%	2.9%	121	14.0%	44.0%	151	0.2	0.00%	1.54%	0.0821525
fucci-wt-single-f8-r1-c7_S56_	poor	97704	88740	5.2%	0.2%	4.8%	13	3.2%	48.0%	154	>=2	0.00%	0.36%	0
fucci-wt-single-f8-r2-c1_S57_	poor	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
fucci-wt-single-f8-r2-c2_S58_	brdu	260064	236964	3.9%	0.6%	7.9%	35	11.1%	42.0%	153	NA	0.00%	0.44%	0
fucci-wt-single-f8-r2-c3_S59_	brdu	1024797	935826	10.1%	2.1%	11.4%	131	32.7%	40.0%	152	0.21	0.00%	1.77%	0
fucci-wt-single-f8-r2-c4_S60_	good	745194	676114	7.5%	1.5%	3.0%	103	17.6%	41.0%	151	0.21	0.00%	1.66%	0
fucci-wt-single-f8-r2-c5_S61_	good	691654	626118	7.3%	1.4%	2.8%	95	18.4%	43.0%	151	0.22	0.00%	1.36%	0
fucci-wt-single-f8-r2-c6_S62_	good	758419	687984	8.9%	1.5%	3.5%	103	13.5%	40.0%	150	NA	0.00%	0.95%	0.09574
fucci-wt-single-f8-r2-c7_S63_	brdu	489910	446090	7.0%	1.0%	10.5%	64	33.3%	45.0%	151	0.25	0.00%	0.77%	0
fucci-wt-single-f8-r3-c1_S64_	poor	207130	187470	3.6%	0.4%	3.1%	29	12.5%	42.0%	153	NA	0.00%	0.24%	0
fucci-wt-single-f8-r3-c2_S65_	acceptable	351782	318348	4.3%	0.7%	3.2%	50	14.6%	42.0%	151	0.23	0.00%	0.65%	0.206676
fucci-wt-single-f8-r3-c3_S66_	poor	31814	28720	1.6%	0.1%	4.1%	4	11.5%	42.0%	152	NA	0.00%	0.06%	0
fucci-wt-single-f8-r3-c4_S67_	acceptable	431575	390582	4.6%	0.9%	3.1%	61	9.3%	42.0%	152	0.21	0.00%	0.95%	0
fucci-wt-single-f8-r3-c5_S68_	brdu	1107978	1011980	10.6%	2.2%	16.1%	140	30.5%	41.0%	151	NA	0.00%	1.95%	0
fucci-wt-single-f8-r3-c6_S69_	good	850579	771410	8.2%	1.7%	2.7%	117	13.5%	42.0%	152	0.21	0.00%	0.83%	0
