Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
na12878-m1h3h5-1-10-bst-single-f5-r6-c1_S36_	p	494728	432126	6.60%	1.00%	10.00%	57	54.30%	49.00%	129	0.28	0.00%	1.10%	0
na12878-m1h3h5-1-10-bst-single-f5-r6-c2_S37_	e	NA	448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-bst-single-f5-r6-c3_S38_	p	2426212	2145406	17.90%	4.20%	11.00%	252	40.50%	50.00%	129	NA	0.00%	4.70%	0
na12878-m1h3h5-1-10-bst-single-f5-r6-c4_S39_	p	1023978	895260	8.80%	2.00%	8.30%	122	49.10%	49.00%	129	NA	0.00%	2.40%	0
na12878-m1h3h5-1-10-bst-single-f5-r6-c5_S40_	p	1309049	1128782	8.50%	2.40%	10.90%	150	58.30%	50.00%	129	NA	0.00%	2.70%	0
na12878-m1h3h5-1-10-bst-single-f5-r6-c6_S41_	b	545156	481570	5.90%	1.10%	17.80%	68	57.40%	49.00%	129	0.24	0.00%	1.80%	0
na12878-m1h3h5-1-10-bst-single-f5-r6-c7_S42_	e	NA	368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-bst-single-f5-r7-c1_S43_	a	2813952	2438890	20.90%	4.60%	7.30%	284	46.20%	49.00%	129	NA	0.00%	4.50%	0
na12878-m1h3h5-1-10-bst-single-f5-r7-c2_S44_	p	18837	16542	1.30%	0.00%	10.00%	2	45.80%	50.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-10-bst-single-f5-r7-c3_S45_	p	223904	197614	11.70%	0.40%	9.10%	26	48.60%	48.00%	129	NA	0.00%	0.40%	0
na12878-m1h3h5-1-10-bst-single-f5-r7-c4_S46_	a	4103168	3591550	29.20%	6.10%	8.30%	384	46.70%	49.00%	129	NA	0.00%	8.00%	0
na12878-m1h3h5-1-10-bst-single-f5-r7-c5_S47_	b	2096930	1853894	20.90%	3.50%	13.50%	211	47.40%	49.00%	129	NA	0.00%	4.60%	0
na12878-m1h3h5-1-10-bst-single-f5-r7-c6_S48_	b	150488	128924	3.40%	0.30%	14.60%	18	44.10%	49.00%	129	0.44	0.00%	0.40%	0
na12878-m1h3h5-1-10-taq-nc-f9-r7-c7_S245_	e	NA	362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r1-c1_S197_	b	2546089	2270400	20.00%	4.40%	9.10%	270	49.10%	49.00%	129	NA	0.00%	5.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r1-c2_S198_	a	2243122	1999902	19.10%	3.90%	7.60%	244	41.20%	49.00%	129	NA	0.00%	4.50%	0
na12878-m1h3h5-1-10-taq-single-f9-r1-c3_S199_	b	1349371	1211782	16.30%	2.50%	14.60%	140	37.50%	50.00%	129	NA	0.00%	3.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r1-c4_S200_	a	1942426	1718276	14.30%	3.60%	4.40%	223	46.30%	49.00%	129	NA	0.00%	4.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r1-c5_S201_	b	908233	804934	8.00%	1.80%	7.60%	110	47.50%	49.00%	129	NA	0.00%	1.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r1-c6_S202_	p	1244433	1098000	9.50%	2.40%	12.50%	145	41.70%	50.00%	129	0.21	0.00%	3.30%	0
na12878-m1h3h5-1-10-taq-single-f9-r1-c7_S203_	p	188424	167240	3.10%	0.40%	7.80%	24	40.60%	49.00%	129	0.3	0.00%	0.50%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c1_S204_	b	111808	99534	2.80%	0.20%	7.40%	14	51.70%	49.00%	129	NA	0.00%	0.20%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c2_S205_	p	460289	409942	6.20%	0.90%	5.40%	58	49.00%	50.00%	129	0.27	0.00%	1.00%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c3_S206_	b	1046588	947346	10.10%	2.10%	16.20%	121	53.40%	50.00%	129	0.23	0.00%	2.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c4_S207_	p	440447	393868	4.70%	0.90%	13.00%	55	44.00%	50.00%	129	0.24	0.00%	0.70%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c5_S208_	p	1017709	898280	9.10%	2.00%	9.70%	120	50.00%	49.00%	129	NA	0.00%	2.50%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c6_S209_	p	1865368	1660882	13.10%	3.50%	9.00%	224	49.00%	49.00%	129	0.2	0.00%	3.50%	0
na12878-m1h3h5-1-10-taq-single-f9-r2-c7_S210_	p	98638	88432	2.10%	0.20%	7.90%	13	46.40%	48.00%	129	NA	0.00%	0.20%	0
na12878-m1h3h5-1-10-taq-single-f9-r3-c1_S211_	e	NA	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r3-c2_S212_	p	574189	513696	6.70%	1.20%	6.00%	74	48.90%	49.00%	129	NA	0.00%	0.90%	0
na12878-m1h3h5-1-10-taq-single-f9-r3-c3_S213_	p	7506	6784	1.10%	0.00%	7.80%	1	33.30%	49.00%	129	NA	0.00%	0.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r3-c4_S214_	b	911811	831942	11.10%	1.80%	10.40%	102	44.60%	49.00%	129	NA	0.00%	1.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r3-c5_S215_	b	215756	196954	4.00%	0.50%	9.50%	27	35.50%	50.00%	129	NA	0.00%	0.40%	0
na12878-m1h3h5-1-10-taq-single-f9-r3-c6_S216_	a	1570132	1398118	14.70%	2.90%	4.70%	184	36.40%	49.00%	129	NA	0.00%	2.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r3-c7_S217_	a	282982	251918	4.60%	0.60%	4.80%	37	39.00%	50.00%	129	NA	0.00%	0.40%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c1_S218_	p	488780	438194	5.30%	1.00%	14.90%	60	51.20%	50.00%	129	0.24	0.00%	1.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c2_S219_	p	143406	129984	3.40%	0.30%	8.90%	18	50.00%	49.00%	129	NA	0.00%	0.40%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c3_S220_	p	17713	16138	1.10%	0.00%	9.60%	2	45.80%	50.00%	129	NA	0.00%	0.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c4_S221_	a	1616858	1422118	13.10%	3.00%	3.70%	188	50.00%	49.00%	129	NA	0.00%	3.60%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c5_S222_	a	655268	585696	6.50%	1.30%	8.20%	84	44.00%	49.00%	129	NA	0.00%	1.70%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c6_S223_	a	1458304	1299702	12.60%	2.70%	6.90%	169	47.20%	49.00%	129	0.22	0.00%	3.00%	0
na12878-m1h3h5-1-10-taq-single-f9-r4-c7_S224_	p	23933	21144	1.30%	0.10%	7.00%	3	41.70%	48.00%	129	NA	0.00%	0.10%	0
na12878-m1h3h5-1-10-taq-single-f9-r5-c1_S225_	e	NA	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r5-c2_S226_	e	NA	398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r5-c3_S227_	p	7380	6618	1.40%	0.00%	0.00%	1	21.70%	49.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-10-taq-single-f9-r5-c4_S228_	p	2088571	1884890	20.40%	3.60%	8.80%	231	45.40%	49.00%	129	NA	0.00%	3.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r5-c5_S229_	a	1507491	1334138	17.40%	2.70%	3.80%	165	42.90%	50.00%	129	NA	0.00%	2.80%	0
na12878-m1h3h5-1-10-taq-single-f9-r5-c6_S230_	a	6603	5814	0.80%	0.00%	4.80%	1	39.10%	48.00%	129	NA	0.00%	0.00%	0
na12878-m1h3h5-1-10-taq-single-f9-r5-c7_S231_	e	NA	102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
na12878-m1h3h5-1-10-taq-single-f9-r6-c1_S232_	a	1432199	1271718	12.90%	2.70%	7.30%	163	50.00%	49.00%	129	NA	0.00%	2.40%	0
