Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
aaa-0042-negctrl-f5-r7-c7_S98_	p	8243	5416	1.1%	0.0%	0.0%	1	91.3%	38.0%	149	NA	0.0%	0.1%	0
aaa-0042-negctrl-f6-r7-c7_S147_	e	NA	<5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
aaa-0042-negctrl-f7-r7-c7_S196_	p	27700	20320	1.0%	0.0%	11.1%	3	29.2%	40.0%	153	NA	0.0%	0.0%	0
aaa-0042-single-f5-r1-c1_S50_	b	1064884	970252	5.0%	2.2%	8.7%	153	55.7%	40.0%	152	0.18	0.0%	1.8%	0
aaa-0042-single-f5-r1-c2_S51_	p	220802	190986	8.7%	0.4%	9.1%	27	58.8%	49.0%	151	NA	0.0%	0.8%	0
aaa-0042-single-f5-r1-c3_S52_	p	64416	53536	7.9%	0.1%	10.3%	7	28.6%	50.0%	152	NA	0.0%	0.1%	0
aaa-0042-single-f5-r1-c4_S53_	p	82270	67808	8.4%	0.1%	9.7%	9	20.0%	49.0%	150	>=2	0.0%	0.3%	0
aaa-0042-single-f5-r1-c5_S54_	b	598342	541388	6.9%	1.2%	9.6%	92	40.4%	41.0%	153	0.23	0.0%	1.7%	0
aaa-0042-single-f5-r1-c6_S55_	a	1038651	942850	5.5%	2.2%	4.6%	155	44.7%	40.0%	151	NA	0.0%	1.9%	0
aaa-0042-single-f5-r1-c7_S56_	b	1137473	1046414	5.8%	2.4%	7.6%	150	60.0%	41.0%	153	0.18	0.0%	2.0%	0
aaa-0042-single-f5-r2-c1_S57_	b	848056	775994	4.4%	1.8%	19.2%	115	57.1%	42.0%	153	NA	0.0%	2.5%	0
aaa-0042-single-f5-r2-c2_S58_	a	450359	406542	2.9%	1.0%	2.8%	68	45.5%	42.0%	151	0.19	0.0%	0.7%	0
aaa-0042-single-f5-r2-c3_S59_	b	712321	648298	5.8%	1.5%	3.8%	98	33.3%	40.0%	153	0.2	0.0%	1.5%	0.10593
aaa-0042-single-f5-r2-c4_S60_	b	771850	703804	5.4%	1.6%	5.4%	104	37.5%	41.0%	152	0.19	0.0%	1.2%	0
aaa-0042-single-f5-r2-c5_S61_	g	683715	617142	3.9%	1.4%	1.2%	103	36.8%	40.0%	154	0.19	0.0%	1.4%	0
aaa-0042-single-f5-r2-c6_S62_	b	730887	661532	7.7%	1.5%	6.8%	109	34.0%	40.0%	153	0.22	0.0%	0.2%	0
aaa-0042-single-f5-r2-c7_S63_	b	642342	580722	5.0%	1.3%	7.3%	87	40.7%	42.0%	153	0.2	0.0%	1.9%	0.11065
aaa-0042-single-f5-r3-c1_S64_	b	167269	153332	3.1%	0.4%	4.1%	26	29.4%	40.0%	156	0.28	0.0%	0.0%	0
aaa-0042-single-f5-r3-c2_S65_	a	607519	551452	3.4%	1.3%	2.2%	92	50.0%	39.0%	151	0.18	0.0%	0.9%	0
aaa-0042-single-f5-r3-c3_S66_	a	48607	44736	1.4%	0.1%	13.8%	7	48.1%	43.0%	151	NA	0.0%	0.2%	0
aaa-0042-single-f5-r3-c4_S67_	b	364627	332444	4.1%	0.8%	11.0%	56	31.7%	41.0%	152	0.22	0.0%	1.1%	0
aaa-0042-single-f5-r3-c5_S68_	a	1011555	918674	4.8%	2.1%	2.1%	152	48.1%	41.0%	152	0.18	0.0%	1.5%	0
aaa-0042-single-f5-r3-c6_S69_	b	729426	672444	4.4%	1.6%	16.1%	99	56.0%	41.0%	152	0.19	0.0%	1.4%	0
aaa-0042-single-f5-r3-c7_S70_	a	583370	529200	3.3%	1.2%	2.1%	89	51.2%	41.0%	152	NA	0.0%	0.8%	0
aaa-0042-single-f5-r4-c1_S71_	g	599276	543992	3.7%	1.3%	1.7%	90	52.2%	41.0%	154	0.19	0.0%	0.8%	0
aaa-0042-single-f5-r4-c2_S72_	a	468845	427992	3.1%	1.0%	2.6%	72	56.8%	41.0%	154	0.19	0.0%	1.1%	0
aaa-0042-single-f5-r4-c3_S73_	b	405532	366512	4.2%	0.9%	4.2%	58	36.7%	41.0%	151	0.22	0.0%	0.1%	0
aaa-0042-single-f5-r4-c4_S74_	b	886175	812718	6.0%	1.9%	5.1%	124	36.5%	42.0%	151	NA	0.0%	2.3%	0
aaa-0042-single-f5-r4-c5_S75_	b	782979	716780	5.9%	1.6%	9.9%	113	36.5%	40.0%	150	NA	0.0%	0.2%	0
aaa-0042-single-f5-r4-c6_S76_	a	475833	432892	2.7%	1.0%	2.9%	73	51.2%	42.0%	150	0.19	0.0%	0.9%	0
aaa-0042-single-f5-r4-c7_S77_	b	288747	263434	3.4%	0.6%	6.7%	43	28.6%	40.0%	150	0.23	0.0%	0.5%	0
aaa-0042-single-f5-r5-c1_S78_	p	9838	8958	1.4%	0.0%	7.6%	1	17.4%	43.0%	150	NA	0.0%	0.0%	0
aaa-0042-single-f5-r5-c2_S79_	a	355969	321716	2.4%	0.8%	2.1%	54	47.5%	41.0%	151	0.19	0.0%	0.5%	0
aaa-0042-single-f5-r5-c3_S80_	g	931137	842224	4.7%	2.0%	0.9%	140	46.8%	40.0%	151	0.18	0.0%	1.1%	0
aaa-0042-single-f5-r5-c4_S81_	b	1080587	983740	5.1%	2.3%	4.3%	162	47.6%	41.0%	151	0.18	0.0%	1.1%	0
aaa-0042-single-f5-r5-c5_S82_	b	804239	733956	4.2%	1.7%	7.7%	119	48.3%	42.0%	152	0.18	0.0%	1.7%	0.0897981
aaa-0042-single-f5-r5-c6_S83_	g	225839	206194	2.6%	0.5%	2.0%	34	48.3%	41.0%	154	0.22	0.0%	0.2%	0
aaa-0042-single-f5-r5-c7_S84_	g	696884	635504	3.9%	1.5%	1.9%	106	57.9%	41.0%	152	0.18	0.0%	1.2%	0
aaa-0042-single-f5-r6-c1_S85_	p	8222	6830	1.0%	0.0%	0.0%	1	39.1%	39.0%	162	NA	0.0%	0.1%	0
aaa-0042-single-f5-r6-c2_S86_	b	1048321	950620	3.7%	2.2%	17.9%	157	50.9%	41.0%	150	0.18	0.0%	1.6%	0.0693461
aaa-0042-single-f5-r6-c3_S87_	p	961944	888052	6.2%	2.0%	38.6%	122	80.0%	44.0%	151	0.19	0.0%	1.1%	0
aaa-0042-single-f5-r6-c4_S88_	b	436132	400302	2.8%	0.9%	23.7%	60	57.6%	41.0%	152	0.19	0.0%	1.7%	0
