Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-recq5-2-single-c8-w12-3d6_S259_	poor	31417	28226	2.40%	0.10%	4.00%	4	12.50%	50.00%	148	NA	0.00%	0.20%	0
blm-recq5-2-single-c8-w13-3d6_S260_	poor	62005	56494	2.80%	0.10%	16.30%	8	17.20%	48.00%	148	NA	0.00%	0.30%	0
blm-recq5-2-single-c8-w1-3d6_S248_	poor	19526	17768	2.20%	0.00%	2.20%	2	0.00%	50.00%	147	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w14-3d6_S261_	shallow	31659	28588	2.70%	0.10%	2.20%	4	30.00%	48.00%	150	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w15-3d6_S262_	poor	13951	12374	1.60%	0.00%	3.90%	2	8.70%	48.00%	147	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w18-3d6_S265_	poor	18575	16572	2.10%	0.00%	2.30%	2	4.30%	48.00%	148	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w19-3d6_S266_	shallow	50230	45234	2.70%	0.10%	2.60%	6	14.30%	49.00%	147	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w20-3d6_S267_	poor	12617	11260	2.60%	0.00%	2.70%	1	12.50%	48.00%	147	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w23-3d6_S270_	poor	11992	10698	2.40%	0.00%	12.70%	1	26.90%	47.00%	150	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w24-3d6_S271_	poor	8286	7460	2.20%	0.00%	0.00%	1	17.40%	50.00%	149	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w27-3d6_S274_	poor	9484	8366	2.10%	0.00%	3.10%	1	0.00%	50.00%	149	>=2	0.00%	0.00%	0
blm-recq5-2-single-c8-w28-3d6_S275_	poor	5501	4816	1.90%	0.00%	3.40%	0	17.40%	48.00%	149	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w29-3d6_S276_	poor	2896	2540	2.80%	0.00%	3.90%	0	17.40%	51.00%	147	>=2	0.00%	0.00%	0
blm-recq5-2-single-c8-w33-3d6_S280_	poor	10473	9424	1.80%	0.00%	5.20%	1	17.40%	50.00%	146	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w3-3d6_S250_	shallow	57676	51978	2.70%	0.10%	1.30%	8	15.40%	48.00%	147	NA	0.00%	0.00%	1.26867
blm-recq5-2-single-c8-w35-3d6_S282_	poor	10322	9166	2.30%	0.00%	7.60%	1	0.00%	50.00%	149	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w36-3d6_S283_	poor	22180	19892	2.50%	0.00%	6.00%	3	11.50%	51.00%	150	NA	0.00%	0.20%	0
blm-recq5-2-single-c8-w37-3d6_S284_	poor	6919	6132	2.00%	0.00%	4.50%	1	4.30%	47.00%	148	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w38-3d6_S285_	poor	8316	7400	2.00%	0.00%	6.20%	1	8.70%	50.00%	148	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w39-3d6_S286_	poor	10195	9072	2.30%	0.00%	7.60%	1	4.30%	49.00%	148	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w40-3d6_S287_	poor	10062	8892	2.30%	0.00%	8.50%	1	0.00%	50.00%	151	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w41-3d6_S288_	poor	2831	2486	2.30%	0.00%	0.00%	0	26.10%	50.00%	147	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w42-3d6_S289_	shallow	32393	28868	2.80%	0.10%	2.00%	4	14.80%	50.00%	146	>=2	0.00%	0.10%	0
blm-recq5-2-single-c8-w43-3d6_S290_	poor	4116	3638	2.10%	0.00%	6.10%	0	4.30%	53.00%	150	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w4-3d6_S251_	poor	20778	18664	2.70%	0.00%	4.30%	3	11.50%	49.00%	149	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w44-3d6_S291_	poor	3988	3528	2.40%	0.00%	8.60%	0	4.30%	49.00%	148	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w45-3d6_S292_	poor	5608	4922	2.30%	0.00%	7.70%	0	4.30%	53.00%	155	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w46-3d6_S293_	shallow	37577	34084	2.60%	0.10%	2.00%	5	7.70%	50.00%	148	>=2	0.00%	0.00%	0
blm-recq5-2-single-c8-w48-3d6_S295_	poor	6928	6074	2.50%	0.00%	2.50%	1	8.70%	49.00%	147	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w49-3d6_S296_	poor	8919	7992	2.60%	0.00%	3.20%	1	8.70%	44.00%	146	NA	0.00%	0.10%	0
blm-recq5-2-single-c8-w5-3d6_S252_	poor	8432	7606	2.40%	0.00%	2.50%	1	0.00%	49.00%	147	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w6-3d6_S253_	poor	12854	11594	2.50%	0.00%	6.40%	1	17.40%	52.00%	146	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w7-3d6_S254_	poor	57589	52760	3.20%	0.10%	43.20%	7	52.00%	50.00%	148	>=2	0.00%	0.40%	0
blm-recq5-2-single-c8-w8-3d6_S255_	poor	23625	21452	2.30%	0.10%	33.10%	3	18.50%	50.00%	148	NA	0.00%	0.00%	0
blm-recq5-2-single-c8-w9-3d6_S256_	poor	6797	6066	1.70%	0.00%	2.90%	1	4.30%	51.00%	153	>=2	0.00%	0.00%	0
recq5-2-single-c10-w11-3d6_S356_	poor	2548	2320	1.50%	0.00%	10.00%	0	0.00%	47.00%	156	NA	0.00%	0.00%	0
recq5-2-single-c10-w12-3d6_S357_	poor	1096884	998126	18.60%	2.00%	22.50%	119	19.40%	48.00%	151	0.29	0.00%	1.80%	0.131854
recq5-2-single-c10-w14-3d6_S359_	poor	256021	231490	18.90%	0.50%	22.10%	26	25.00%	48.00%	154	NA	0.00%	0.80%	0
recq5-2-single-c10-w20-3d6_S365_	poor	216014	193312	16.40%	0.40%	10.90%	24	13.50%	50.00%	157	>=2	0.00%	0.40%	0
recq5-2-single-c10-w26-3d6_S371_	poor	NA	NA	NA	NA	NA	NA	NA	NA	NA	>=2	NA	NA	NA
recq5-2-single-c10-w28-3d6_S373_	poor	205671	186866	13.40%	0.40%	28.70%	23	14.30%	46.00%	156	>=2	0.00%	0.40%	0
recq5-2-single-c10-w29-3d6_S374_	poor	81126	72292	11.40%	0.20%	12.70%	9	17.10%	48.00%	154	>=2	0.00%	0.20%	0
recq5-2-single-c10-w30-3d6_S375_	poor	186916	168278	15.50%	0.30%	22.80%	20	28.10%	47.00%	154	NA	0.00%	0.20%	0
recq5-2-single-c10-w3-3d6_S348_	poor	171296	155094	13.60%	0.30%	30.60%	18	35.30%	49.00%	154	>=2	0.00%	0.40%	0
recq5-2-single-c10-w39-3d6_S384_	poor	346900	313722	18.60%	0.60%	21.10%	41	71.70%	49.00%	154	>=2	0.00%	0.50%	0
recq5-2-single-c10-w4-3d6_S349_	poor	140833	127336	14.30%	0.30%	28.40%	15	30.00%	49.00%	153	NA	0.00%	0.20%	0
recq5-2-single-c10-w45-3d6_S390_	good	537101	486574	13.00%	1.00%	2.00%	69	15.40%	43.00%	152	0.35	0.00%	1.10%	0
recq5-2-single-c10-w5-3d6_S350_	poor	2646	2436	1.60%	0.00%	50.00%	0	8.30%	49.00%	151	NA	0.00%	0.00%	0
recq5-2-single-c10-w7-3d6_S352_	poor	586322	532682	16.90%	1.10%	15.40%	64	34.20%	48.00%	158	0.5	0.00%	1.10%	0.24855
recq5-2-single-c2-w11-3d6_S31_	poor	90063	82112	8.00%	0.20%	34.30%	11	33.30%	48.00%	154	>=2	0.00%	0.20%	0
recq5-2-single-c2-w13-3d6_S32_	poor	63108	56744	6.80%	0.10%	3.90%	8	3.80%	48.00%	154	NA	0.00%	0.10%	0
recq5-2-single-c2-w1-3d6_S26_	poor	26138	23686	6.10%	0.10%	34.30%	3	8.00%	47.00%	154	>=2	0.00%	0.10%	0
recq5-2-single-c2-w15-3d6_S33_	poor	17607	15976	7.40%	0.00%	30.10%	2	25.90%	50.00%	153	>=2	0.00%	0.00%	0
recq5-2-single-c2-w17-3d6_S34_	poor	35600	32374	5.20%	0.10%	29.30%	4	23.10%	49.00%	154	>=2	0.00%	0.20%	0
recq5-2-single-c2-w19-3d6_S35_	poor	7909	6990	8.00%	0.00%	5.90%	1	0.00%	44.00%	152	>=2	0.00%	0.00%	0
recq5-2-single-c2-w21-3d6_S36_	poor	70744	63748	7.10%	0.10%	12.60%	9	10.70%	48.00%	159	>=2	0.00%	0.20%	0
recq5-2-single-c2-w23-3d6_S37_	poor	95266	86550	6.60%	0.20%	13.20%	12	16.10%	47.00%	156	NA	0.00%	0.10%	0
recq5-2-single-c2-w27-3d6_S39_	poor	161856	146890	7.00%	0.30%	6.60%	21	18.80%	44.00%	153	>=2	0.00%	0.40%	0
recq5-2-single-c2-w31-3d6_S41_	poor	59752	53882	7.70%	0.10%	8.00%	7	14.30%	49.00%	151	>=2	0.00%	0.10%	0
recq5-2-single-c2-w33-3d6_S42_	poor	52705	48022	6.80%	0.10%	27.00%	6	22.60%	50.00%	152	>=2	0.00%	0.30%	0
recq5-2-single-c2-w3-3d6_S27_	poor	48405	43796	7.10%	0.10%	11.80%	6	17.90%	49.00%	153	NA	0.00%	0.10%	0
recq5-2-single-c2-w35-3d6_S43_	poor	150324	137074	7.10%	0.30%	28.40%	18	38.20%	49.00%	152	>=2	0.00%	0.40%	0.480186
recq5-2-single-c2-w37-3d6_S44_	poor	101206	91566	8.60%	0.20%	0.00%	13	100.00%	50.00%	153	NA	0.00%	0.40%	0
recq5-2-single-c2-w39-3d6_S45_	poor	44244	39700	6.80%	0.10%	8.20%	5	8.30%	49.00%	150	>=2	0.00%	0.10%	0
recq5-2-single-c2-w47-3d6_S49_	poor	51096	45822	6.60%	0.10%	0.00%	5	100.00%	52.00%	151	>=2	0.00%	0.10%	0
recq5-2-single-c2-w49-3d6_S50_	poor	45715	41290	7.10%	0.10%	18.00%	5	37.00%	49.00%	150	>=2	0.00%	0.00%	0
recq5-2-single-c2-w5-3d6_S28_	poor	49139	44508	6.40%	0.10%	34.60%	6	33.30%	48.00%	153	>=2	0.00%	0.20%	0
recq5-2-single-c2-w7-3d6_S29_	poor	378454	346150	8.40%	0.80%	19.80%	46	31.00%	47.00%	151	0.34	0.00%	0.70%	0.190126
recq5-2-single-c2-w9-3d6_S30_	poor	106799	96722	6.10%	0.20%	7.30%	14	15.20%	48.00%	156	NA	0.00%	0.30%	0
recq5-2-single-c6-w10-3d6_S159_	poor	282733	255168	9.70%	0.60%	25.10%	31	46.20%	49.00%	153	0.68	0.00%	0.70%	0
recq5-2-single-c6-w11-3d6_S160_	poor	170420	153062	12.30%	0.30%	19.30%	19	20.00%	48.00%	157	NA	0.00%	0.60%	0
recq5-2-single-c6-w12-3d6_S161_	good	327686	294958	9.70%	0.60%	2.70%	44	10.80%	47.00%	153	0.47	0.00%	0.60%	0
recq5-2-single-c6-w13-3d6_S162_	poor	345971	311992	10.80%	0.70%	18.30%	39	27.80%	49.00%	153	0.57	0.00%	0.70%	0
recq5-2-single-c6-w1-3d6_S150_	poor	49457	43892	7.60%	0.10%	3.30%	6	0.00%	47.00%	152	NA	0.00%	0.10%	0
recq5-2-single-c6-w14-3d6_S163_	poor	150951	135788	13.90%	0.30%	8.90%	17	10.30%	49.00%	155	>=2	0.00%	0.50%	0
recq5-2-single-c6-w15-3d6_S164_	poor	254869	227416	10.80%	0.50%	0.00%	30	95.80%	49.00%	151	NA	0.00%	1.10%	0
recq5-2-single-c6-w16-3d6_S165_	poor	83474	74998	9.50%	0.20%	24.40%	10	13.80%	50.00%	154	>=2	0.00%	0.10%	0
recq5-2-single-c6-w17-3d6_S166_	poor	96927	87190	7.20%	0.20%	19.50%	11	23.30%	49.00%	152	>=2	0.00%	0.10%	0
recq5-2-single-c6-w18-3d6_S167_	poor	144687	130346	11.20%	0.30%	21.90%	15	32.30%	49.00%	151	>=2	0.00%	0.40%	0.505173
recq5-2-single-c6-w19-3d6_S168_	poor	345686	310562	11.40%	0.70%	3.40%	44	16.70%	45.00%	154	0.56	0.00%	0.70%	0
recq5-2-single-c6-w21-3d6_S170_	poor	409541	373302	10.30%	0.80%	24.00%	49	33.30%	45.00%	150	0.39	0.00%	1.10%	0
recq5-2-single-c6-w22-3d6_S171_	poor	22734	20176	9.60%	0.00%	9.40%	3	8.30%	50.00%	153	>=2	0.00%	0.00%	0
recq5-2-single-c6-w23-3d6_S172_	poor	150107	135628	9.10%	0.30%	5.70%	18	17.20%	46.00%	150	NA	0.00%	0.60%	0
recq5-2-single-c6-w2-3d6_S151_	poor	119940	108792	10.90%	0.20%	27.00%	13	39.40%	49.00%	158	NA	0.00%	0.40%	0
recq5-2-single-c6-w24-3d6_S173_	poor	456280	410024	11.30%	0.90%	0.00%	58	100.00%	47.00%	153	0.39	0.00%	0.60%	0
recq5-2-single-c6-w26-3d6_S175_	poor	168187	151572	12.40%	0.30%	34.50%	19	25.80%	49.00%	155	>=2	0.00%	0.20%	0
recq5-2-single-c6-w27-3d6_S176_	shallow	126922	113874	7.80%	0.30%	1.80%	17	12.90%	46.00%	153	NA	0.00%	0.30%	0
recq5-2-single-c6-w28-3d6_S177_	poor	61524	54290	9.20%	0.10%	2.50%	8	7.70%	47.00%	154	NA	0.00%	0.20%	0
recq5-2-single-c6-w29-3d6_S178_	poor	56568	50050	8.60%	0.10%	4.20%	7	8.30%	48.00%	151	>=2	0.00%	0.30%	0
recq5-2-single-c6-w30-3d6_S179_	poor	3251	1602	11.70%	0.00%	0.00%	0	47.80%	40.00%	59	>=2	0.00%	0.00%	0
recq5-2-single-c6-w31-3d6_S180_	poor	175735	157540	12.80%	0.30%	26.40%	19	27.30%	48.00%	152	NA	0.00%	0.30%	0
recq5-2-single-c6-w32-3d6_S181_	poor	235979	213352	10.00%	0.50%	12.40%	28	26.80%	49.00%	152	NA	0.00%	0.30%	0
recq5-2-single-c6-w33-3d6_S182_	poor	282196	256220	9.80%	0.60%	10.60%	35	25.00%	46.00%	151	0.8	0.00%	0.40%	0.516294
recq5-2-single-c6-w35-3d6_S184_	poor	49607	44394	11.30%	0.10%	5.40%	6	8.00%	50.00%	170	>=2	0.00%	0.10%	0
recq5-2-single-c6-w36-3d6_S185_	poor	393807	357576	10.30%	0.80%	6.40%	51	17.10%	42.00%	155	0.39	0.00%	0.60%	0
recq5-2-single-c6-w37-3d6_S186_	poor	342811	309818	10.20%	0.70%	9.70%	42	36.00%	46.00%	158	0.47	0.00%	1.20%	0
recq5-2-single-c6-w40-3d6_S189_	poor	114203	101864	10.80%	0.20%	27.20%	12	22.60%	50.00%	152	>=2	0.00%	0.10%	0
recq5-2-single-c6-w41-3d6_S190_	poor	47376	41734	8.40%	0.10%	3.50%	6	14.30%	49.00%	153	>=2	0.00%	0.00%	0
recq5-2-single-c6-w42-3d6_S191_	poor	92864	83688	13.00%	0.20%	40.50%	10	34.40%	51.00%	156	>=2	0.00%	0.20%	0
recq5-2-single-c6-w43-3d6_S192_	poor	334468	304546	9.70%	0.70%	30.90%	40	34.30%	45.00%	153	NA	0.00%	0.50%	0
recq5-2-single-c6-w4-3d6_S153_	poor	70253	62852	10.70%	0.10%	35.70%	8	51.60%	50.00%	153	NA	0.00%	0.20%	0
recq5-2-single-c6-w44-3d6_S193_	poor	184638	168212	10.40%	0.40%	15.30%	21	23.30%	48.00%	152	NA	0.00%	0.30%	0
recq5-2-single-c6-w45-3d6_S194_	poor	116418	104492	9.20%	0.20%	2.40%	15	11.10%	47.00%	153	NA	0.00%	0.20%	0
recq5-2-single-c6-w46-3d6_S195_	poor	117100	105756	11.30%	0.20%	41.70%	13	45.50%	50.00%	156	NA	0.00%	0.20%	0
recq5-2-single-c6-w47-3d6_S196_	poor	50929	45410	8.90%	0.10%	5.90%	6	0.00%	48.00%	154	NA	0.00%	0.20%	0
recq5-2-single-c6-w48-3d6_S197_	poor	52965	46870	9.60%	0.10%	4.10%	7	15.40%	48.00%	152	>=2	0.00%	0.10%	0
recq5-2-single-c6-w49-3d6_S198_	poor	116330	105962	11.70%	0.20%	34.40%	13	40.60%	50.00%	155	NA	0.00%	0.40%	0
recq5-2-single-c6-w5-3d6_S154_	poor	99816	90274	9.60%	0.20%	1.90%	13	10.70%	47.00%	153	>=2	0.00%	0.20%	0
recq5-2-single-c6-w6-3d6_S155_	good	180511	162088	11.00%	0.30%	2.70%	23	12.50%	48.00%	154	NA	0.00%	0.10%	0
recq5-2-single-c6-w7-3d6_S156_	poor	81832	73222	11.60%	0.20%	14.60%	9	7.10%	48.00%	153	>=2	0.00%	0.10%	0
recq5-2-single-c6-w8-3d6_S157_	poor	10907	9536	10.50%	0.00%	7.80%	1	0.00%	46.00%	168	>=2	0.00%	0.00%	0
recq5-2-single-c6-w9-3d6_S158_	poor	216630	195268	10.20%	0.40%	9.60%	27	17.90%	47.00%	154	>=2	0.00%	0.40%	0
wt-fucci-single-c13-w11-3d6_S498_	poor	4576	4154	2.30%	0.00%	0.00%	0	8.70%	47.00%	148	NA	0.00%	0.00%	0
wt-fucci-single-c13-w13-3d6_S499_	poor	105183	95868	5.90%	0.20%	17.80%	14	19.40%	43.00%	153	>=2	0.00%	0.20%	0
wt-fucci-single-c13-w1-3d6_S493_	shallow	124059	112528	5.20%	0.30%	2.80%	17	11.10%	42.00%	158	1.61	0.00%	0.40%	0
wt-fucci-single-c13-w21-3d6_S503_	poor	107595	97606	5.70%	0.20%	13.80%	14	14.30%	43.00%	151	NA	0.00%	0.10%	0
wt-fucci-single-c13-w27-3d6_S506_	poor	179959	164366	6.40%	0.40%	16.70%	23	39.40%	42.00%	157	NA	0.00%	0.20%	0
wt-fucci-single-c13-w33-3d6_S509_	poor	74849	67382	6.30%	0.20%	5.20%	10	7.40%	44.00%	158	>=2	0.00%	0.20%	0
wt-fucci-single-c13-w35-3d6_S510_	poor	147047	133818	6.00%	0.30%	11.80%	19	26.70%	44.00%	152	0.96	0.00%	0.10%	0
wt-fucci-single-c13-w41-3d6_S513_	shallow	52313	47018	5.00%	0.10%	2.10%	7	3.80%	42.00%	152	>=2	0.00%	0.10%	0
wt-fucci-single-c13-w43-3d6_S514_	poor	162920	147742	7.10%	0.30%	8.00%	21	20.50%	44.00%	154	NA	0.00%	0.20%	0
wt-fucci-single-c13-w45-3d6_S515_	poor	136493	124434	6.10%	0.30%	21.90%	17	28.60%	43.00%	154	NA	0.00%	0.20%	0
wt-fucci-single-c13-w49-3d6_S517_	poor	228561	208564	6.60%	0.50%	16.20%	28	26.50%	45.00%	153	0.44	0.00%	0.20%	0
wt-fucci-single-c13-w9-3d6_S497_	poor	81112	73532	5.80%	0.20%	8.90%	11	6.90%	42.00%	165	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w10-3d6_S527_	poor	90411	82736	4.70%	0.20%	16.90%	12	26.50%	42.00%	152	>=2	0.00%	0.00%	0.799478
wt-fucci-single-c14-w13-3d6_S530_	poor	120477	110612	5.40%	0.30%	33.10%	16	46.70%	46.00%	150	>=2	0.00%	0.40%	0
wt-fucci-single-c14-w14-3d6_S531_	poor	60392	55050	5.40%	0.10%	12.70%	8	14.30%	47.00%	154	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w15-3d6_S532_	poor	14308	12964	3.70%	0.00%	41.30%	2	20.80%	48.00%	149	NA	0.00%	0.10%	0
wt-fucci-single-c14-w16-3d6_S533_	poor	82925	75656	4.70%	0.20%	32.00%	11	40.00%	44.00%	152	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w17-3d6_S534_	poor	14171	12770	3.90%	0.00%	10.40%	2	8.30%	47.00%	151	>=2	0.00%	0.00%	0
wt-fucci-single-c14-w18-3d6_S535_	shallow	57022	51486	5.50%	0.10%	1.80%	8	15.40%	46.00%	153	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w19-3d6_S536_	poor	76689	70540	5.30%	0.20%	10.30%	10	4.00%	42.00%	168	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w20-3d6_S537_	poor	23065	21040	4.70%	0.00%	10.40%	3	4.30%	49.00%	159	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w22-3d6_S539_	poor	148704	135822	4.70%	0.30%	17.70%	19	17.20%	44.00%	153	NA	0.00%	0.60%	0
wt-fucci-single-c14-w23-3d6_S540_	poor	114682	104774	4.80%	0.20%	13.90%	15	10.00%	42.00%	155	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w2-3d6_S519_	poor	57935	52784	3.90%	0.10%	2.00%	8	16.70%	43.00%	156	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w24-3d6_S541_	poor	111799	102084	4.70%	0.20%	39.10%	14	33.30%	45.00%	152	0.85	0.00%	0.40%	0
wt-fucci-single-c14-w26-3d6_S543_	poor	51251	46422	6.20%	0.10%	21.60%	6	18.50%	47.00%	153	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w27-3d6_S544_	poor	35523	32268	5.40%	0.10%	8.10%	4	15.40%	47.00%	153	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w28-3d6_S545_	poor	39236	35712	5.70%	0.10%	18.60%	5	19.20%	49.00%	161	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w29-3d6_S546_	poor	74512	67750	4.00%	0.20%	18.10%	10	20.00%	40.00%	157	>=2	0.00%	0.30%	0
wt-fucci-single-c14-w30-3d6_S547_	poor	53545	48362	4.90%	0.10%	7.30%	7	8.00%	46.00%	156	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w31-3d6_S548_	poor	86530	78906	4.90%	0.20%	5.30%	12	14.30%	41.00%	164	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w33-3d6_S550_	poor	72797	66608	5.80%	0.20%	19.50%	9	30.80%	48.00%	154	>=2	0.00%	0.40%	0
wt-fucci-single-c14-w3-3d6_S520_	poor	42768	39030	3.80%	0.10%	0.00%	5	20.00%	48.00%	153	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w35-3d6_S552_	poor	91584	83628	5.50%	0.20%	8.30%	12	0.00%	40.00%	156	0.46	0.00%	0.20%	0
wt-fucci-single-c14-w36-3d6_S553_	poor	175940	161214	4.60%	0.40%	22.00%	23	30.80%	41.00%	153	NA	0.00%	0.40%	0
wt-fucci-single-c14-w37-3d6_S554_	poor	126415	114428	4.40%	0.30%	2.20%	17	13.80%	40.00%	153	NA	0.00%	0.10%	0
wt-fucci-single-c14-w38-3d6_S555_	poor	44115	39646	4.80%	0.10%	2.50%	6	17.90%	45.00%	154	>=2	0.00%	0.00%	0
wt-fucci-single-c14-w39-3d6_S556_	poor	57610	52120	5.60%	0.10%	26.80%	7	14.30%	49.00%	154	>=2	0.00%	0.00%	0
wt-fucci-single-c14-w40-3d6_S557_	poor	33958	30870	4.40%	0.10%	23.70%	4	17.20%	47.00%	150	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w41-3d6_S558_	poor	44376	40208	5.10%	0.10%	40.60%	5	40.00%	46.00%	157	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w42-3d6_S559_	poor	91648	83648	5.20%	0.20%	5.50%	12	12.90%	42.00%	156	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w43-3d6_S560_	poor	169020	155028	4.70%	0.40%	17.30%	22	17.90%	41.00%	154	NA	0.00%	0.20%	0
wt-fucci-single-c14-w44-3d6_S561_	poor	99466	89628	5.00%	0.20%	7.20%	13	18.50%	43.00%	153	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w45-3d6_S562_	poor	66507	60212	5.00%	0.10%	14.20%	9	16.70%	45.00%	161	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w46-3d6_S563_	poor	65332	59536	4.50%	0.10%	6.30%	9	3.80%	42.00%	154	NA	0.00%	0.20%	0
wt-fucci-single-c14-w47-3d6_S564_	poor	43122	39112	4.20%	0.10%	15.40%	5	19.20%	48.00%	154	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w48-3d6_S565_	poor	51566	46566	5.00%	0.10%	2.00%	7	12.00%	43.00%	155	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w49-3d6_S566_	shallow	53413	48478	4.80%	0.10%	1.40%	7	7.10%	48.00%	152	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w5-3d6_S522_	poor	22409	20562	3.70%	0.00%	35.90%	3	25.90%	49.00%	154	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w6-3d6_S523_	poor	33972	30670	4.80%	0.10%	2.70%	4	4.20%	47.00%	152	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w7-3d6_S524_	poor	88682	81438	4.40%	0.20%	12.10%	12	20.70%	42.00%	155	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w8-3d6_S525_	poor	127938	116870	4.10%	0.30%	11.00%	17	3.40%	40.00%	159	0.42	0.00%	0.40%	0
wt-fucci-single-c14-w9-3d6_S526_	poor	58575	52946	4.80%	0.10%	5.90%	8	17.20%	46.00%	153	NA	0.00%	0.10%	0
wt-fucci-single-c15-w13-3d6_S579_	poor	101695	92786	7.00%	0.20%	10.20%	13	15.60%	48.00%	153	NA	0.00%	0.40%	0
wt-fucci-single-c15-w1-3d6_S567_	poor	166980	152058	6.70%	0.30%	8.70%	22	6.70%	42.00%	157	>=2	0.00%	0.30%	0
wt-fucci-single-c15-w15-3d6_S581_	poor	214043	193914	7.50%	0.40%	9.20%	27	22.50%	42.00%	155	1.08	0.00%	0.60%	0
wt-fucci-single-c15-w20-3d6_S586_	poor	132732	122080	7.30%	0.30%	25.00%	17	19.40%	43.00%	155	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w21-3d6_S587_	poor	186335	170716	8.10%	0.40%	27.60%	23	37.90%	45.00%	154	>=2	0.00%	0.80%	0
wt-fucci-single-c15-w22-3d6_S588_	poor	228718	207396	8.40%	0.50%	13.30%	28	25.80%	46.00%	153	>=2	0.00%	0.50%	0
wt-fucci-single-c15-w23-3d6_S589_	poor	6095	5258	7.60%	0.00%	3.20%	0	4.30%	54.00%	153	NA	0.00%	0.00%	0
wt-fucci-single-c15-w2-3d6_S568_	poor	258249	234286	7.70%	0.50%	22.40%	31	41.20%	43.00%	153	0.51	0.00%	0.90%	0.2819
wt-fucci-single-c15-w24-3d6_S590_	poor	67590	61566	8.10%	0.10%	19.30%	8	17.20%	46.00%	161	NA	0.00%	0.00%	0
wt-fucci-single-c15-w27-3d6_S593_	poor	320577	294522	8.50%	0.70%	21.50%	43	52.90%	41.00%	153	0.42	0.00%	0.60%	0
wt-fucci-single-c15-w28-3d6_S594_	poor	110870	101616	7.00%	0.20%	12.70%	14	17.90%	44.00%	155	>=2	0.00%	0.00%	0
wt-fucci-single-c15-w29-3d6_S595_	poor	142358	128804	6.90%	0.30%	4.00%	19	15.20%	45.00%	156	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w30-3d6_S596_	poor	96558	87260	6.90%	0.20%	1.80%	13	3.40%	47.00%	153	>=2	0.00%	0.40%	0
wt-fucci-single-c15-w33-3d6_S599_	poor	118434	107996	7.80%	0.20%	19.00%	14	18.80%	48.00%	155	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w3-3d6_S569_	poor	92552	84112	6.40%	0.20%	27.20%	11	14.30%	48.00%	153	NA	0.00%	0.20%	0
