Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-recq5-1-single-c11-w33-3d6_S427_	good	160137	143980	16.40%	0.30%	1.40%	19	12.80%	48.00%	161	>=2	0.00%	0.20%	0
blm-recq5-1-single-c11-w34-3d6_S428_	shallow	177151	157318	16.80%	0.30%	1.40%	20	9.40%	49.00%	151	>=2	0.00%	0.50%	0
blm-recq5-1-single-c11-w38-3d6_S432_	poor	144653	129456	14.10%	0.30%	14.90%	16	12.50%	50.00%	152	>=2	0.00%	0.20%	0.510779
blm-recq5-1-single-c11-w44-3d6_S438_	shallow	81826	73580	11.70%	0.20%	1.90%	10	0.00%	49.00%	154	>=2	0.00%	0.20%	0
blm-recq5-1-single-c11-w8-3d6_S402_	poor	161408	145156	13.10%	0.30%	31.60%	17	44.80%	51.00%	148	>=2	0.00%	0.50%	0
blm-recq5-1-single-c11-w9-3d6_S403_	poor	190241	171928	14.50%	0.40%	3.60%	23	7.70%	48.00%	155	>=2	0.00%	0.40%	0
blm-recq5-1-single-c3-w11-3d6_S56_	good	69295	62616	3.70%	0.10%	3.40%	9	18.20%	48.00%	150	>=2	0.00%	0.10%	0
blm-recq5-1-single-c3-w13-3d6_S57_	poor	56786	51596	3.60%	0.10%	10.70%	7	25.00%	44.00%	158	>=2	0.00%	0.20%	0
blm-recq5-1-single-c3-w1-3d6_S51_	shallow	43814	39700	3.40%	0.10%	1.40%	6	8.00%	47.00%	156	>=2	0.00%	0.30%	0
blm-recq5-1-single-c3-w15-3d6_S58_	shallow	33487	30790	3.30%	0.10%	2.40%	5	8.30%	42.00%	154	>=2	0.00%	0.20%	0
blm-recq5-1-single-c3-w17-3d6_S59_	shallow	12940	11854	2.90%	0.00%	2.10%	2	4.20%	46.00%	151	>=2	0.00%	0.00%	0
blm-recq5-1-single-c3-w19-3d6_S60_	good	185306	168384	4.20%	0.40%	1.90%	26	2.90%	48.00%	149	0.4	0.00%	0.50%	0
blm-recq5-1-single-c3-w21-3d6_S61_	poor	28458	25658	3.80%	0.10%	16.40%	3	20.00%	49.00%	150	>=2	0.00%	0.10%	0
blm-recq5-1-single-c3-w23-3d6_S62_	shallow	12261	11054	3.50%	0.00%	2.80%	1	4.20%	49.00%	155	>=2	0.00%	0.00%	0
