file	complexity	coverage	spikiness	entropy
Undetermined_S0_.trimmed.mdup.bam	262248132.294179	0.12611698412229	0.111952472954238	7.92811715268958
blm-1-single-f5-r1-c1_S1_.trimmed.mdup.bam	4627051.30328708	0.0569450174514433	0.113412418822648	7.92677185638921
blm-1-single-f5-r1-c2_S2_.trimmed.mdup.bam	4144930.14076563	0.0478878428995809	0.115774607363453	7.92303178579192
blm-1-single-f5-r1-c3_S3_.trimmed.mdup.bam	2664238.83469835	0.0288642740424385	0.133099662056056	7.92603861555174
blm-1-single-f5-r1-c4_S4_.trimmed.mdup.bam	407104.935482006	0.00332530396036932	0.387783489567584	7.78046042339013
blm-1-single-f5-r1-c5_S5_.trimmed.mdup.bam	347414.50237925	0.00348218578319608	0.387936338652119	7.78311850970187
blm-1-single-f5-r1-c6_S6_.trimmed.mdup.bam	393932.777530321	0.00420614227870636	0.336478746894839	7.81022298616106
blm-1-single-f5-r1-c7_S7_.trimmed.mdup.bam	453524.24834411	0.00488634829823868	0.300565950393477	7.85786263766106
blm-1-single-f5-r2-c1_S8_.trimmed.mdup.bam	3083410.16747402	0.0307766164333798	0.228014922424526	7.86251603254724
blm-1-single-f5-r2-c2_S9_.trimmed.mdup.bam	329450.096482689	0.00169842667386729	0.444994656216601	7.74744323865858
blm-1-single-f5-r2-c4_S11_.trimmed.mdup.bam	352032.660285643	0.00304621358853045	0.407285288114304	7.78310069235761
blm-1-single-f5-r2-c5_S12_.trimmed.mdup.bam	362763.828603108	0.00323905904477025	0.367530979460194	7.81366787465939
blm-1-single-f5-r2-c6_S13_.trimmed.mdup.bam	315363.854268955	0.00371330845360932	0.340231589069637	7.76215754211935
blm-1-single-f5-r3-c1_S15_.trimmed.mdup.bam	3973044.7732704	0.0165468762817636	0.260143332372158	7.82000627712181
blm-1-single-f5-r3-c2_S16_.trimmed.mdup.bam	290355.994058313	0.00223692498136283	0.375881710592332	7.84971906965871
