file	complexity	coverage	spikiness	entropy
Undetermined_S0_.trimmed.mdup.bam	469337374.451659	0.128832931709691	0.112396873216346	7.94594936478124
aaa-0042-negctrl-f5-r7-c7_S98_.trimmed.mdup.bam	518732.328036265	0.000132545025573876	1.07049118860142	7.34691993052152
aaa-0042-negctrl-f7-r7-c7_S196_.trimmed.mdup.bam	2386434.70089537	0.000497618679246323	0.606293706293706	7.78362927680938
aaa-0042-single-f5-r1-c1_S50_.trimmed.mdup.bam	19846974.2285258	0.0237750896342467	0.182206301662133	7.93567928691312
aaa-0042-single-f5-r1-c2_S51_.trimmed.mdup.bam	2189370.8695177	0.00467379288246265	0.280810641145605	7.88316731731714
aaa-0042-single-f5-r1-c3_S52_.trimmed.mdup.bam	664775.996423238	0.00130169468696242	0.488635424415241	7.69980132934962
aaa-0042-single-f5-r1-c4_S53_.trimmed.mdup.bam	793119.949923829	0.00165028379438828	0.455689134147944	7.77773096526017
aaa-0042-single-f5-r1-c5_S54_.trimmed.mdup.bam	7914728.1710508	0.0132638556406997	0.232621218052682	7.5811332583748
aaa-0042-single-f5-r1-c6_S55_.trimmed.mdup.bam	17528413.8716854	0.0231100998200458	0.130725475147849	7.94634164519069
aaa-0042-single-f5-r1-c7_S56_.trimmed.mdup.bam	18426964.1494024	0.0256522338648215	0.225875179076516	7.91087817304206
aaa-0042-single-f5-r2-c1_S57_.trimmed.mdup.bam	18112878.3846049	0.0190120899994858	0.247462214592368	7.90313764209045
aaa-0042-single-f5-r2-c2_S58_.trimmed.mdup.bam	14862760.2221676	0.00995866024279398	0.172843840635018	7.94306148702723
aaa-0042-single-f5-r2-c3_S59_.trimmed.mdup.bam	11433221.6000582	0.0158865502189543	0.147586106986346	7.75119524448968
aaa-0042-single-f5-r2-c4_S60_.trimmed.mdup.bam	13287557.9974352	0.0172431675970068	0.185150974550306	7.80545072454259
aaa-0042-single-f5-r2-c5_S61_.trimmed.mdup.bam	16362104.8217058	0.015120730701945	0.146528020288391	7.94567693576476
aaa-0042-single-f5-r2-c6_S62_.trimmed.mdup.bam	8557019.54736358	0.0162171358147945	0.151438803843845	7.58690777379276
aaa-0042-single-f5-r2-c7_S63_.trimmed.mdup.bam	11910870.9609504	0.0142222168856418	0.224694546900595	7.78159815190067
aaa-0042-single-f5-r3-c1_S64_.trimmed.mdup.bam	5111548.02930603	0.0037584603540143	0.227101121771018	7.56367420088545
aaa-0042-single-f5-r3-c2_S65_.trimmed.mdup.bam	16723662.0622346	0.0135093759395147	0.15177469339685	7.94607949712984
aaa-0042-single-f5-r3-c3_S66_.trimmed.mdup.bam	3632858.2858302	0.00109634715190393	0.432223082881487	7.84908092711553
aaa-0042-single-f5-r3-c4_S67_.trimmed.mdup.bam	8493393.73396571	0.00814180025267676	0.186031249211197	7.65767834790406
aaa-0042-single-f5-r3-c5_S68_.trimmed.mdup.bam	19512747.2976365	0.0225060969013411	0.134571314958983	7.94856006729042
aaa-0042-single-f5-r3-c6_S69_.trimmed.mdup.bam	15983041.5957349	0.0164788948924948	0.244331381696359	7.91263539201102
aaa-0042-single-f5-r3-c7_S70_.trimmed.mdup.bam	16509649.1922878	0.0129579053895526	0.157551873578167	7.94608823692059
aaa-0042-single-f5-r4-c1_S71_.trimmed.mdup.bam	15084306.744352	0.0133291067132475	0.148594423773265	7.94550940809027
aaa-0042-single-f5-r4-c2_S72_.trimmed.mdup.bam	14603852.4503598	0.0104881030430053	0.165856828343371	7.94375076956918
aaa-0042-single-f5-r4-c3_S73_.trimmed.mdup.bam	8980647.05264476	0.00897640743132619	0.177364739046484	7.7456394584748
