file	complexity	coverage	spikiness	entropy
blm-1-negctrl-c10-w25_.trimmed.mdup.bam	658.830488463545	1.17832335719306e-06	2	2.94443897916644
blm-1-negctrl-c9-w25_.trimmed.mdup.bam	228.144892441588	1.6313253843195e-06	2	3.25809653802148
blm-1-single-c10-w10_.trimmed.mdup.bam	2687697.36433795	0.0115255887499535	0.189974563860127	7.91501663183483
blm-1-single-c10-w11_.trimmed.mdup.bam	702693.880189081	0.00457680867792028	0.275052557813595	7.89262588520965
blm-1-single-c10-w12_.trimmed.mdup.bam	808633.043055969	0.00547918936356447	0.248718885106082	7.89846925377196
blm-1-single-c10-w13_.trimmed.mdup.bam	401.834381939257	9.23165675008909e-07	2	2.83321334405622
blm-1-single-c10-w14_.trimmed.mdup.bam	496768.572633964	0.00343204179397609	0.309026141696666	7.87211139959787
blm-1-single-c10-w15_.trimmed.mdup.bam	2010282.51925231	0.0102885007652501	0.191639085189492	7.91638999609135
blm-1-single-c10-w16_.trimmed.mdup.bam	344.93838940379	8.61966687784538e-07	2	2.70805020110221
blm-1-single-c10-w17_.trimmed.mdup.bam	386923.369753221	0.000955648737450112	0.467323443496191	7.83432316577559
blm-1-single-c10-w18_.trimmed.mdup.bam	1075.75376751527	1.53839358890471e-06	2	3.20477752413226
blm-1-single-c10-w19_.trimmed.mdup.bam	1745768.76326624	0.0117498134202353	0.192692356064459	7.91371291926265
blm-1-single-c10-w1_.trimmed.mdup.bam	2274316.26120835	0.00923578298656634	0.259986815248672	7.88056650859732
blm-1-single-c10-w20_.trimmed.mdup.bam	1298155.14875869	0.0176312692314964	0.204806139302302	7.89898527722248
blm-1-single-c10-w21_.trimmed.mdup.bam	507008.553788378	0.0028172409777742	0.321474007457776	7.88357677405918
blm-1-single-c10-w22_.trimmed.mdup.bam	572781.151857014	0.00363043952023671	0.347348537848048	7.83483486124477
blm-1-single-c10-w23_.trimmed.mdup.bam	954985.505955015	0.00589274945293521	0.254452294913974	7.89886391589625
blm-1-single-c10-w24_.trimmed.mdup.bam	952875.868496234	0.00284619230818547	0.30581003605414	7.8782318873046
blm-1-single-c10-w26_.trimmed.mdup.bam	1665.26139592984	1.62711593017179e-06	1.93333333333333	3.40119738166216
blm-1-single-c10-w27_.trimmed.mdup.bam	349448.739154695	0.00122753058096311	0.432072307118897	7.83692090936695
