Library	Reads	Sequencing_for_0.05x_cov	Background	Reads_per_Mb	Quality	Mode_insert_size	Mode_GC	Percent_WC	Naive_coverage	Duplication_rate	complexity	coverage	spikiness	entropy
fucci-wt-single-f11-r1-c7_S105_.trimmed.mdup.bam	687296	0.22	1.1	104	good	155	41	19.2	1.5	8.1	8667843.4464581	0.0168525710514243	0.146979966095981	7.92535452727613
fucci-wt-single-f11-r2-c1_S106_.trimmed.mdup.bam	1079926	0.23	9.1	138	brdu	153	41	42	2.3	14.2	7240621.34159425	0.026482382260116	0.223243501280215	7.8902801796471
fucci-wt-single-f11-r2-c2_S107_.trimmed.mdup.bam	273428	0.27	2.7	42	acceptable	153	40	11.8	0.6	5.3	5432163.66771791	0.00670385589668631	0.210105021485193	7.91758921108574
fucci-wt-single-f11-r2-c3_S108_.trimmed.mdup.bam	1062118	2	0.9	155	good	156	40	20.7	2.3	13.1	7756928.61208916	0.0260461170226809	0.141497801963202	7.92088191253693
fucci-wt-single-f11-r2-c4_S109_.trimmed.mdup.bam	492248	2	13.3	65	brdu	154	43	18.4	1.1	11.4	4212049.39887985	0.0120699650744601	0.259032591063265	7.8809354288908
fucci-wt-single-f11-r2-c5_S110_.trimmed.mdup.bam	534024	0.24	9	76	brdu	154	42	26.5	1.2	7.9	6899426.6314705	0.0130939792329189	0.219156368093147	7.90117775350152
fucci-wt-single-f11-r2-c6_S111_.trimmed.mdup.bam	975836	0.25	0.9	140	good	155	40	20	2.1	13.7	6741230.94363544	0.0239292751397897	0.132123529818983	7.9263935921314
fucci-wt-single-f11-r2-c7_S112_.trimmed.mdup.bam	574170	2	1.5	85	good	155	39	15.4	1.2	12.5	4426616.05065147	0.014080869891445	0.188780146102272	7.89995394908252
fucci-wt-single-f11-r3-c1_S113_.trimmed.mdup.bam	287874	0.3	6.4	43	brdu	160	43	16.7	0.7	6.3	4821014.26246107	0.00705859048336366	0.222614972743611	7.91437773162153
fucci-wt-single-f11-r3-c2_S114_.trimmed.mdup.bam	562406	0.23	3.5	85	brdu	155	39	27.9	1.3	7.5	7724998.79539309	0.0137904816684779	0.169273831815556	7.92239538735093
fucci-wt-single-f11-r3-c3_S115_.trimmed.mdup.bam	7862	2	3.4	1	poor	177	39	0	0	2	362502.131032526	0.000192823437556561	0.939361982599525	7.49101248531459
fucci-wt-single-f11-r3-c4_S116_.trimmed.mdup.bam	379838	2	0.9	60	acceptable	165	42	17.1	0.9	7.2	5535163.41752362	0.00931303812712673	0.231956658020509	7.8843401525351
fucci-wt-single-f11-r3-c5_S117_.trimmed.mdup.bam	807386	0.23	1	119	good	156	41	11.4	1.8	10.6	7533899.71338425	0.0198005547607888	0.144552823801888	7.92579051349749
fucci-wt-single-f11-r3-c6_S118_.trimmed.mdup.bam	73928	2	2.2	10	poor	157	46	7.1	0.2	14.5	487140.131578041	0.00181204081272642	0.364512119328776	7.63019933845676
fucci-wt-single-f11-r3-c7_S119_.trimmed.mdup.bam	403368	0.23	1.6	62	good	154	41	17.8	0.9	5.9	7166721.97970552	0.0098899347515535	0.173772284111475	7.92387884166499
fucci-wt-single-f11-r4-c1_S120_.trimmed.mdup.bam	434116	2	1.3	66	good	152	42	9.5	1	6.4	7010239.89415657	0.0106430630881116	0.174751613030915	7.92084651254682
fucci-wt-single-f11-r4-c2_S121_.trimmed.mdup.bam	461160	0.24	1	71	good	155	40	14	1	7.2	6512773.13285536	0.0113081762716994	0.162440622594394	7.9246653577174
fucci-wt-single-f11-r4-c3_S122_.trimmed.mdup.bam	368654	0.27	1.6	65	brdu	156	42	11.6	0.8	6.6	5836516.6453125	0.00903838354854706	0.346547322083639	7.74048923377309
fucci-wt-single-f11-r4-c4_S123_.trimmed.mdup.bam	1572300	0.21	8.9	199	brdu	153	41	34.5	3.2	16.7	8673001.98939752	0.0385552570388047	0.192509789895262	7.91009963720791
fucci-wt-single-f11-r4-c5_S124_.trimmed.mdup.bam	569888	0.29	1	83	good	155	40	18.6	1.2	11.1	5045090.99157024	0.0139758666767513	0.15629314014505	7.92351753572369
fucci-wt-single-f11-r4-c6_S125_.trimmed.mdup.bam	383094	0.43	1	56	acceptable	167	40	14.6	0.8	9.6	3967962.70515898	0.00939462673883011	0.182496959256953	7.91796545228317
fucci-wt-single-f11-r4-c7_S126_.trimmed.mdup.bam	300960	0.27	1.5	47	acceptable	154	41	16.2	0.7	5.6	5581934.8857586	0.00738012963843634	0.193388254428455	7.92090778754109
fucci-wt-single-f11-r5-c1_S127_.trimmed.mdup.bam	7670	2	2	1	poor	156	40	8.7	0	1.3	703868.362157382	0.000188109820323624	0.942440318302387	7.46937865867382
fucci-wt-single-f11-r5-c2_S128_.trimmed.mdup.bam	345936	2	1.4	54	acceptable	152	43	12.5	0.8	4.9	7548531.21502937	0.0084795571393639	0.196172453654151	7.9149382566036
fucci-wt-single-f11-r5-c3_S129_.trimmed.mdup.bam	1191880	0.22	0.8	171	good	152	41	18.9	2.5	13.2	8669763.08428557	0.0292274307754529	0.131769496636016	7.92644760974006
fucci-wt-single-f11-r5-c4_S130_.trimmed.mdup.bam	1049324	2	1.4	149	good	154	39	20.8	2.2	14.3	6908981.90094934	0.0257341993845732	0.132469821050795	7.9270693780966
fucci-wt-single-f11-r5-c5_S131_.trimmed.mdup.bam	469590	0.36	1	69	acceptable	165	41	12.8	1	10.6	4440729.72589406	0.0115149906396262	0.168643280874874	7.92100080883619
fucci-wt-single-f11-r5-c6_S132_.trimmed.mdup.bam	57988	2	1.9	9	poor	152	43	7.1	0.1	2.2	2704706.06099204	0.00142178102347574	0.379727095516569	7.8790713736788
fucci-wt-single-f11-r5-c7_S133_.trimmed.mdup.bam	567866	0.24	2.1	85	good	156	40	12.5	1.3	8.4	6920150.41268555	0.0139252198196627	0.158999617259656	7.92450422488145
